12:34:00 [ INFO] Opening target process: csgo.exe
12:37:16 [ INFO] Found signature: set_abs_angles => 0x1E51E0
12:37:16 [ INFO] Found signature: set_abs_origin => 0x1E5020
12:37:16 [ INFO] Found signature: is_c4_owner => 0x3C76A0
12:37:16 [ INFO] Found signature: force_update_spectator_glow => 0x3BA6CA
12:37:16 [ INFO] Found signature: anim_overlays => 0x2990
12:37:16 [ INFO] Found signature: m_flSpawnTime => 0x103C0
12:37:16 [ INFO] Found signature: find_hud_element => 0x2D9A48A0
12:37:16 [ INFO] Finished signature scanning: 57/57 items successful
12:37:16 [ INFO] Starting netvar scanning: 93 items
12:37:16 [ INFO] Found netvar: m_ArmorValue => 0x117CC
12:37:16 [ INFO] Found netvar: m_Collision => 0x320
12:37:16 [ INFO] Found netvar: m_CollisionGroup => 0x474
12:37:16 [ INFO] Found netvar: m_Local => 0x2FCC
12:37:16 [ INFO] Found netvar: m_MoveType => 0x25B
12:37:16 [ INFO] Found netvar: m_OriginalOwnerXuidHigh => 0x31D4
12:37:16 [ INFO] Found netvar: m_OriginalOwnerXuidLow => 0x31D0
12:37:16 [ INFO] Found netvar: m_aimPunchAngle => 0x303C
12:37:16 [ INFO] Found netvar: m_aimPunchAngleVel => 0x3048
12:37:16 [ INFO] Found netvar: m_bGunGameImmunity => 0x9990
12:37:16 [ INFO] Found netvar: m_bHasDefuser => 0x117DC
12:37:16 [ INFO] Found netvar: m_bHasHelmet => 0x117C0
12:37:16 [ INFO] Found netvar: m_bInReload => 0x3248
12:37:16 [ INFO] Found netvar: m_bIsDefusing => 0x997C
12:37:16 [ INFO] Found netvar: m_bIsScoped => 0x9974
12:37:16 [ INFO] Found netvar: m_bSpotted => 0x93D
12:37:17 [ INFO] Found netvar: m_bSpottedByMask => 0x980
12:37:17 [ INFO] Found netvar: m_dwBoneMatrix => 0x268C
12:37:17 [ INFO] Found netvar: m_fAccuracyPenalty => 0x3340
12:37:17 [ INFO] Found netvar: m_fFlags => 0x104
12:37:17 [ INFO] Found netvar: m_hViewModel => 0x3308
12:37:17 [ INFO] Found netvar: m_flFallbackWear => 0x31E0
12:37:17 [ INFO] Found netvar: m_flFlashDuration => 0x10470
12:37:17 [ INFO] Found netvar: m_flFlashMaxAlpha => 0x1046C
12:37:17 [ INFO] Found netvar: m_flNextPrimaryAttack => 0x3248
12:37:17 [ INFO] Found netvar: m_hActiveWeapon => 0x2F08
12:37:17 [ INFO] Found netvar: m_hMyWeapons => 0x2F08
12:37:17 [ INFO] Found netvar: m_hObserverTarget => 0x339C
12:37:17 [ INFO] Found netvar: m_hOwner => 0x29DC
12:37:17 [ INFO] Found netvar: m_hOwnerEntity => 0x14C
12:37:17 [ INFO] Found netvar: m_iAccountID => 0x2FD8
12:37:17 [ INFO] Found netvar: m_iClip1 => 0x3274
12:37:17 [ INFO] Found netvar: m_zoomLevel => 0x33E0
12:37:17 [ INFO] Found netvar: m_iCompetitiveRanking => 0x1A84
12:37:17 [ INFO] Found netvar: m_iCompetitiveWins => 0x1B88
12:37:17 [ INFO] Found netvar: m_iCrosshairId => 0x117DC
12:37:17 [ INFO] Found netvar: m_iEntityQuality => 0x2FBC
12:37:17 [ INFO] Found netvar: m_iFOVStart => 0x31F8
12:37:17 [ INFO] Found netvar: m_iGlowIndex => 0x10470
12:37:17 [ INFO] Found netvar: m_iHealth => 0x100
12:37:17 [ INFO] Found netvar: m_iItemDefinitionIndex => 0x2FBA
12:37:17 [ INFO] Found netvar: m_iItemIDHigh => 0x2FD0
12:37:17 [ INFO] Found netvar: m_iObserverMode => 0x3388
12:37:17 [ INFO] Found netvar: m_iShotsFired => 0x103E0
12:37:17 [ INFO] Found netvar: m_iState => 0x3268
12:37:17 [ INFO] Found netvar: m_iTeamNum => 0xF4
12:37:17 [ INFO] Found netvar: m_lifeState => 0x25F
12:37:17 [ INFO] Found netvar: m_nFallbackPaintKit => 0x31D8
12:37:17 [ INFO] Found netvar: m_nFallbackSeed => 0x31DC
12:37:17 [ INFO] Found netvar: m_nFallbackStatTrak => 0x31E4
12:37:17 [ INFO] Found netvar: m_iDefaultFOV => 0x333C
12:37:17 [ INFO] Found netvar: m_iFOV => 0x31F4
12:37:17 [ INFO] Found netvar: m_nForceBone => 0x268C
12:37:17 [ INFO] Found netvar: m_nTickBase => 0x3440
12:37:17 [ INFO] Found netvar: m_rgflCoordinateFrame => 0x474
12:37:17 [ INFO] Found netvar: m_szCustomName => 0x304C
12:37:17 [ INFO] Found netvar: m_szLastPlaceName => 0x35C4
12:37:17 [ INFO] Found netvar: m_vecOrigin => 0x138
12:37:17 [ INFO] Found netvar: m_vecVelocity => 0x114
12:37:17 [ INFO] Found netvar: m_vecViewOffset => 0x108
12:37:17 [ INFO] Found netvar: m_viewPunchAngle => 0x3030
12:37:17 [ INFO] Found netvar: m_thirdPersonViewAngles => 0x31E4
12:37:17 [ INFO] Found netvar: m_clrRender => 0x70
12:37:17 [ INFO] Found netvar: m_bBombTicking => 0x2990
12:37:17 [ INFO] Found netvar: m_bBombDefused => 0x29C0
12:37:17 [ INFO] Found netvar: m_flC4Blow => 0x29A0
12:37:17 [ INFO] Found netvar: m_hBombDefuser => 0x29C4
12:37:17 [ INFO] Found netvar: m_flTimerLength => 0x29A4
12:37:17 [ INFO] Found netvar: m_flDefuseLength => 0x29B8
12:37:17 [ INFO] Found netvar: m_flDefuseCountDown => 0x29BC
12:37:17 [ INFO] Found netvar: m_nBombSite => 0x2994
12:37:17 [ INFO] Found netvar: cs_gamerules_data => 0x0
12:37:17 [ INFO] Found netvar: m_SurvivalRules => 0xD00
12:37:17 [ INFO] Found netvar: m_SurvivalGameRuleDecisionTypes => 0x1328
12:37:17 [ INFO] Found netvar: m_bIsValveDS => 0x7C
12:37:17 [ INFO] Found netvar: m_bFreezePeriod => 0x20
12:37:17 [ INFO] Found netvar: m_bBombPlanted => 0x9A5
12:37:17 [ INFO] Found netvar: m_bIsQueuedMatchmaking => 0x74
12:37:17 [ INFO] Found netvar: m_flSimulationTime => 0x268
12:37:17 [ INFO] Found netvar: m_flLowerBodyYawTarget => 0x9ADC
12:37:17 [ INFO] Found netvar: m_angEyeAnglesX => 0x117D0
12:37:17 [ INFO] Found netvar: m_angEyeAnglesY => 0x117D4
12:37:17 [ INFO] Found netvar: m_flNextAttack => 0x2D80
12:37:17 [ INFO] Found netvar: m_iMostRecentModelBoneCounter => 0x268C
12:37:17 [ INFO] Found netvar: m_flLastBoneSetupTime => 0x28C0
12:37:17 [ INFO] Found netvar: m_bStartedArming => 0x3400
12:37:17 [ INFO] Found netvar: m_bUseCustomBloomScale => 0x9DA
12:37:17 [ INFO] Found netvar: m_bUseCustomAutoExposureMin => 0x9D8
12:37:17 [ INFO] Found netvar: m_bUseCustomAutoExposureMax => 0x9D9
12:37:17 [ INFO] Found netvar: m_flCustomBloomScale => 0x9E4
12:37:17 [ INFO] Found netvar: m_flCustomAutoExposureMin => 0x9DC
12:37:17 [ INFO] Found netvar: m_flCustomAutoExposureMax => 0x9E0
12:37:17 [ INFO] Found netvar: m_nViewModelIndex => 0x29D0
12:37:17 [ INFO] Finished netvar scanning: 93/93 items successful
12:37:19 [ INFO] Opening target process: csgo.exe
12:37:19 [ INFO] Starting signature scanning: 57 items
12:37:19 [ INFO] Found signature: dwClientState => 0x58BFC4
12:37:19 [ INFO] Found signature: dwClientState_GetLocalPlayer => 0x180
12:37:19 [ INFO] Found signature: dwClientState_IsHLTV => 0x4D48
12:37:19 [ INFO] Found signature: dwClientState_Map => 0x28C
12:37:19 [ INFO] Found signature: dwClientState_MapDirectory => 0x188
12:37:19 [ INFO] Found signature: dwClientState_MaxPlayer => 0x388
12:37:19 [ INFO] Found signature: dwClientState_PlayerInfo => 0x52C0
12:37:19 [ INFO] Found signature: dwClientState_State => 0x108
12:37:19 [ INFO] Found signature: dwClientState_ViewAngles => 0x4D90
12:37:19 [ INFO] Found signature: clientstate_delta_ticks => 0x174
12:37:19 [ INFO] Found signature: clientstate_last_outgoing_command => 0x4D2C
12:37:19 [ INFO] Found signature: clientstate_choked_commands => 0x4D30
12:37:19 [ INFO] Found signature: clientstate_net_channel => 0x9C
12:37:19 [ INFO] Found signature: dwEntityList => 0x4DCEB7C
12:37:19 [ INFO] Found signature: dwForceAttack => 0x31FF054
12:37:19 [ INFO] Found signature: dwForceAttack2 => 0x31FF060
12:37:19 [ INFO] Found signature: dwForceBackward => 0x31FF0A8
12:37:19 [ INFO] Found signature: dwForceForward => 0x31FF09C
12:37:19 [ INFO] Found signature: dwForceJump => 0x52789F8
12:37:19 [ INFO] Found signature: dwForceLeft => 0x31FF0B4
12:37:19 [ INFO] Found signature: dwForceRight => 0x31FF0C0
12:37:19 [ INFO] Found signature: dwGameDir => 0x62A880
12:37:19 [ INFO] Found signature: dwGameRulesProxy => 0x52EBA5C
12:37:19 [ INFO] Found signature: dwGetAllClasses => 0xDDCF2C
12:37:19 [ INFO] Found signature: dwGlobalVars => 0x58BCC8
12:37:19 [ INFO] Found signature: dwGlowObjectManager => 0x5316E98
12:37:19 [ INFO] Found signature: dwInput => 0x5220150
12:37:19 [ INFO] Found signature: dwInterfaceLinkList => 0x966044
12:37:19 [ INFO] Found signature: dwLocalPlayer => 0xDB35EC
12:37:19 [ INFO] Found signature: dwMouseEnable => 0xDB92F8
12:37:19 [ INFO] Found signature: dwMouseEnablePtr => 0xDB92C8
12:37:19 [ INFO] Found signature: dwPlayerResource => 0x31FD3E0
12:37:19 [ INFO] Found signature: dwRadarBase => 0x52038F4
12:37:19 [ INFO] Found signature: dwSensitivity => 0xDB9194
12:37:19 [ INFO] Found signature: dwSensitivityPtr => 0xDB9168
12:37:19 [ INFO] Found signature: dwSetClanTag => 0x8A290
12:37:19 [ INFO] Found signature: dwViewMatrix => 0x4DC0494
12:37:19 [ INFO] Found signature: dwWeaponTable => 0x5220C18
12:37:19 [ INFO] Found signature: dwWeaponTableIndex => 0x326C
12:37:19 [ INFO] Found signature: dwYawPtr => 0xDB8F58
12:37:19 [ INFO] Found signature: dwZoomSensitivityRatioPtr => 0xDBEF60
12:37:19 [ INFO] Found signature: dwbSendPackets => 0xD93D2
12:37:19 [ INFO] Found signature: dwppDirect3DDevice9 => 0xA5050
12:37:19 [ INFO] Found signature: m_pStudioHdr => 0x2950
12:37:19 [ INFO] Found signature: m_yawClassPtr => 0xDB8F58
12:37:19 [ INFO] Found signature: m_pitchClassPtr => 0x5203B90
12:37:19 [ INFO] Found signature: interface_engine_cvar => 0x3E9EC
12:37:19 [ INFO] Found signature: convar_name_hash_table => 0x2F0F8
12:37:19 [ INFO] Found signature: m_bDormant => 0xED
12:37:19 [ INFO] Found signature: model_ambient_min => 0x58F03C
12:37:19 [ INFO] Found signature: set_abs_angles => 0x1E51E0
12:37:19 [ INFO] Found signature: set_abs_origin => 0x1E5020
12:37:19 [ INFO] Found signature: is_c4_owner => 0x3C76A0
12:37:19 [ INFO] Found signature: force_update_spectator_glow => 0x3BA6CA
12:37:19 [ INFO] Found signature: anim_overlays => 0x2990
12:37:19 [ INFO] Found signature: m_flSpawnTime => 0x103C0
12:37:19 [ INFO] Found signature: find_hud_element => 0x2D9A48A0
12:37:19 [ INFO] Finished signature scanning: 57/57 items successful
12:37:19 [ INFO] Starting netvar scanning: 93 items
12:37:19 [ INFO] Found netvar: m_ArmorValue => 0x117CC
12:37:19 [ INFO] Found netvar: m_Collision => 0x320
12:37:19 [ INFO] Found netvar: m_CollisionGroup => 0x474
12:37:19 [ INFO] Found netvar: m_Local => 0x2FCC
12:37:19 [ INFO] Found netvar: m_MoveType => 0x25B
12:37:19 [ INFO] Found netvar: m_OriginalOwnerXuidHigh => 0x31D4
12:37:19 [ INFO] Found netvar: m_OriginalOwnerXuidLow => 0x31D0
12:37:19 [ INFO] Found netvar: m_aimPunchAngle => 0x303C
12:37:19 [ INFO] Found netvar: m_aimPunchAngleVel => 0x3048
12:37:19 [ INFO] Found netvar: m_bGunGameImmunity => 0x9990
12:37:19 [ INFO] Found netvar: m_bHasDefuser => 0x117DC
12:37:19 [ INFO] Found netvar: m_bHasHelmet => 0x117C0
12:37:19 [ INFO] Found netvar: m_bInReload => 0x3248
12:37:19 [ INFO] Found netvar: m_bIsDefusing => 0x997C
12:37:19 [ INFO] Found netvar: m_bIsScoped => 0x9974
12:37:19 [ INFO] Found netvar: m_bSpotted => 0x93D
12:37:19 [ INFO] Found netvar: m_bSpottedByMask => 0x980
12:37:19 [ INFO] Found netvar: m_dwBoneMatrix => 0x268C
12:37:19 [ INFO] Found netvar: m_fAccuracyPenalty => 0x3340
12:37:19 [ INFO] Found netvar: m_fFlags => 0x104
12:37:19 [ INFO] Found netvar: m_hViewModel => 0x3308
12:37:19 [ INFO] Found netvar: m_flFallbackWear => 0x31E0
12:37:19 [ INFO] Found netvar: m_flFlashDuration => 0x10470
12:37:19 [ INFO] Found netvar: m_flFlashMaxAlpha => 0x1046C
12:37:19 [ INFO] Found netvar: m_flNextPrimaryAttack => 0x3248
12:37:19 [ INFO] Found netvar: m_hActiveWeapon => 0x2F08
12:37:19 [ INFO] Found netvar: m_hMyWeapons => 0x2F08
12:37:19 [ INFO] Found netvar: m_hObserverTarget => 0x339C
12:37:19 [ INFO] Found netvar: m_hOwner => 0x29DC
12:37:19 [ INFO] Found netvar: m_hOwnerEntity => 0x14C
12:37:19 [ INFO] Found netvar: m_iAccountID => 0x2FD8
12:37:19 [ INFO] Found netvar: m_iClip1 => 0x3274
